Freq_Hz,Freq_GHz,S21_dB,S11_dB
1681162325,1.6812,-7.4362,-0.8643
1689158317,1.6892,-7.5622,-0.8370
1697154309,1.6972,-7.6880,-0.8108
1705150301,1.7052,-7.8137,-0.7854
1713146293,1.7131,-7.9392,-0.7609
1721142285,1.7211,-8.0646,-0.7373
1729138277,1.7291,-8.1897,-0.7146
1737134269,1.7371,-8.3146,-0.6926
1745130261,1.7451,-8.4393,-0.6714
1753126253,1.7531,-8.5638,-0.6509
1761122244,1.7611,-8.6880,-0.6312
1769118236,1.7691,-8.8119,-0.6121
1777114228,1.7771,-8.9355,-0.5937
1785110220,1.7851,-9.0589,-0.5759
1793106212,1.7931,-9.1819,-0.5588
1801102204,1.8011,-9.3047,-0.5422
1809098196,1.8091,-9.4271,-0.5262
1817094188,1.8171,-9.5492,-0.5107
1825090180,1.8251,-9.6709,-0.4957
1833086172,1.8331,-9.7923,-0.4813
1841082164,1.8411,-9.9134,-0.4673
1849078156,1.8491,-10.0341,-0.4538
1857074148,1.8571,-10.1544,-0.4408
1865070140,1.8651,-10.2744,-0.4281
1873066132,1.8731,-10.3940,-0.4159
1881062124,1.8811,-10.5132,-0.4041
1889058116,1.8891,-10.6320,-0.3927
1897054108,1.8971,-10.7504,-0.3817
1905050100,1.9051,-10.8685,-0.3710
1913046092,1.9130,-10.9862,-0.3606
1921042084,1.9210,-11.1034,-0.3506
1929038076,1.9290,-11.2203,-0.3410
1937034068,1.9370,-11.3367,-0.3316
1945030060,1.9450,-11.4528,-0.3225
1953026052,1.9530,-11.5684,-0.3137
1961022044,1.9610,-11.6837,-0.3052
1969018036,1.9690,-11.7985,-0.2970
1977014028,1.9770,-11.9129,-0.2890
1985010020,1.9850,-12.0269,-0.2812
1993006012,1.9930,-12.1405,-0.2737
2001002004,2.0010,-12.2537,-0.2665
2008997996,2.0090,-12.3665,-0.2594
2016993988,2.0170,-12.4788,-0.2526
2024989980,2.0250,-12.5908,-0.2460
2032985972,2.0330,-12.7023,-0.2396
2040981964,2.0410,-12.8134,-0.2334
2048977956,2.0490,-12.9241,-0.2273
2056973948,2.0570,-13.0344,-0.2215
2064969940,2.0650,-13.1443,-0.2158
2072965932,2.0730,-13.2538,-0.2103
2080961924,2.0810,-13.3628,-0.2050
2088957916,2.0890,-13.4714,-0.1998
2096953908,2.0970,-13.5797,-0.1948
2104949900,2.1049,-13.6875,-0.1899
2112945892,2.1129,-13.7949,-0.1851
2120941884,2.1209,-13.9019,-0.1805
2128937876,2.1289,-14.0085,-0.1761
2136933868,2.1369,-14.1147,-0.1717
2144929860,2.1449,-14.2205,-0.1675
2152925852,2.1529,-14.3259,-0.1634
2160921844,2.1609,-14.4309,-0.1595
