Freq_Hz,Freq_GHz,S21_dB,S11_dB
2754739479,2.7547,-77.9689,-0.0000
2760721443,2.7607,-78.1078,-0.0000
2766703407,2.7667,-78.2460,-0.0000
2772685371,2.7727,-78.3836,-0.0000
2778667335,2.7787,-78.5205,-0.0000
2784649299,2.7846,-78.6567,-0.0000
2790631263,2.7906,-78.7922,-0.0000
2796613226,2.7966,-78.9271,-0.0000
2802595190,2.8026,-79.0614,-0.0000
2808577154,2.8086,-79.1950,-0.0000
2814559118,2.8146,-79.3279,-0.0000
2820541082,2.8205,-79.4603,-0.0000
2826523046,2.8265,-79.5920,-0.0000
2832505010,2.8325,-79.7230,-0.0000
2838486974,2.8385,-79.8535,-0.0000
2844468938,2.8445,-79.9834,-0.0000
2850450902,2.8505,-80.1126,-0.0000
2856432866,2.8564,-80.2413,-0.0000
2862414830,2.8624,-80.3693,-0.0000
2868396794,2.8684,-80.4968,-0.0000
2874378758,2.8744,-80.6237,-0.0000
2880360721,2.8804,-80.7501,-0.0000
2886342685,2.8863,-80.8758,-0.0000
2892324649,2.8923,-81.0010,-0.0000
2898306613,2.8983,-81.1256,-0.0000
2904288577,2.9043,-81.2497,-0.0000
2910270541,2.9103,-81.3732,-0.0000
2916252505,2.9163,-81.4962,-0.0000
2922234469,2.9222,-81.6187,-0.0000
2928216433,2.9282,-81.7406,-0.0000
2934198397,2.9342,-81.8620,-0.0000
2940180361,2.9402,-81.9828,-0.0000
2946162325,2.9462,-82.1032,-0.0000
2952144289,2.9521,-82.2230,-0.0000
2958126253,2.9581,-82.3423,-0.0000
2964108216,2.9641,-82.4611,-0.0000
2970090180,2.9701,-82.5794,-0.0000
2976072144,2.9761,-82.6972,-0.0000
2982054108,2.9821,-82.8145,-0.0000
2988036072,2.9880,-82.9313,-0.0000
2994018036,2.9940,-83.0477,-0.0000
3000000000,3.0000,-83.1635,-0.0000
