Freq_Hz,Freq_GHz,S21_N3_dB,S21_N4_dB,S21_N5_dB,S21_N6_dB
728918919,0.7289,-0.0409,-0.0113,-0.0657,-0.4283
732912913,0.7329,-0.0392,-0.0096,-0.0684,-0.4364
736906907,0.7369,-0.0375,-0.0081,-0.0711,-0.4440
740900901,0.7409,-0.0358,-0.0066,-0.0738,-0.4513
744894895,0.7449,-0.0341,-0.0053,-0.0763,-0.4582
748888889,0.7489,-0.0324,-0.0040,-0.0788,-0.4647
752882883,0.7529,-0.0307,-0.0030,-0.0812,-0.4707
756876877,0.7569,-0.0290,-0.0020,-0.0836,-0.4761
760870871,0.7609,-0.0273,-0.0013,-0.0858,-0.4811
764864865,0.7649,-0.0257,-0.0007,-0.0878,-0.4855
768858859,0.7689,-0.0241,-0.0003,-0.0898,-0.4893
772852853,0.7729,-0.0225,-0.0000,-0.0916,-0.4924
776846847,0.7768,-0.0209,-0.0000,-0.0933,-0.4950
780840841,0.7808,-0.0194,-0.0002,-0.0948,-0.4968
784834835,0.7848,-0.0179,-0.0006,-0.0961,-0.4980
788828829,0.7888,-0.0164,-0.0013,-0.0972,-0.4984
792822823,0.7928,-0.0150,-0.0022,-0.0982,-0.4981
796816817,0.7968,-0.0136,-0.0034,-0.0990,-0.4970
800810811,0.8008,-0.0122,-0.0049,-0.0995,-0.4951
804804805,0.8048,-0.0110,-0.0066,-0.0999,-0.4923
808798799,0.8088,-0.0097,-0.0087,-0.1000,-0.4887
812792793,0.8128,-0.0085,-0.0111,-0.0999,-0.4842
816786787,0.8168,-0.0074,-0.0138,-0.0996,-0.4789
820780781,0.8208,-0.0063,-0.0169,-0.0990,-0.4726
824774775,0.8248,-0.0054,-0.0204,-0.0982,-0.4654
828768769,0.8288,-0.0044,-0.0243,-0.0971,-0.4573
832762763,0.8328,-0.0036,-0.0286,-0.0958,-0.4482
836756757,0.8368,-0.0028,-0.0333,-0.0942,-0.4382
840750751,0.8408,-0.0021,-0.0384,-0.0924,-0.4273
844744745,0.8447,-0.0015,-0.0440,-0.0903,-0.4154
848738739,0.8487,-0.0010,-0.0501,-0.0880,-0.4025
852732733,0.8527,-0.0006,-0.0567,-0.0854,-0.3888
856726727,0.8567,-0.0003,-0.0638,-0.0826,-0.3742
860720721,0.8607,-0.0001,-0.0714,-0.0796,-0.3587
864714715,0.8647,-0.0000,-0.0797,-0.0763,-0.3424
868708709,0.8687,-0.0000,-0.0884,-0.0729,-0.3252
872702703,0.8727,-0.0002,-0.0978,-0.0692,-0.3074
876696697,0.8767,-0.0004,-0.1078,-0.0653,-0.2889
880690691,0.8807,-0.0008,-0.1185,-0.0613,-0.2697
884684685,0.8847,-0.0014,-0.1298,-0.0571,-0.2501
888678679,0.8887,-0.0020,-0.1418,-0.0528,-0.2300
892672673,0.8927,-0.0028,-0.1545,-0.0485,-0.2097
896666667,0.8967,-0.0038,-0.1679,-0.0440,-0.1891
900660661,0.9007,-0.0049,-0.1821,-0.0395,-0.1686
904654655,0.9047,-0.0062,-0.1970,-0.0350,-0.1481
908648649,0.9086,-0.0076,-0.2128,-0.0306,-0.1280
912642643,0.9126,-0.0093,-0.2293,-0.0262,-0.1084
916636637,0.9166,-0.0111,-0.2467,-0.0220,-0.0895
920630631,0.9206,-0.0130,-0.2650,-0.0179,-0.0716
924624625,0.9246,-0.0152,-0.2841,-0.0141,-0.0550
928618619,0.9286,-0.0176,-0.3041,-0.0106,-0.0399
932612613,0.9326,-0.0201,-0.3251,-0.0075,-0.0267
936606607,0.9366,-0.0229,-0.3470,-0.0048,-0.0157
940600601,0.9406,-0.0259,-0.3698,-0.0026,-0.0073
944594595,0.9446,-0.0291,-0.3937,-0.0010,-0.0019
948588589,0.9486,-0.0326,-0.4185,-0.0002,-0.0000
952582583,0.9526,-0.0362,-0.4444,-0.0001,-0.0019
956576577,0.9566,-0.0402,-0.4713,-0.0009,-0.0082
960570571,0.9606,-0.0443,-0.4993,-0.0026,-0.0194
964564565,0.9646,-0.0487,-0.5283,-0.0055,-0.0359
968558559,0.9686,-0.0534,-0.5585,-0.0096,-0.0582
972552553,0.9726,-0.0583,-0.5897,-0.0151,-0.0870
976546547,0.9765,-0.0636,-0.6221,-0.0220,-0.1227
980540541,0.9805,-0.0690,-0.6557,-0.0305,-0.1658
984534535,0.9845,-0.0748,-0.6904,-0.0408,-0.2168
988528529,0.9885,-0.0809,-0.7262,-0.0530,-0.2762
992522523,0.9925,-0.0873,-0.7633,-0.0673,-0.3445
996516517,0.9965,-0.0939,-0.8016,-0.0837,-0.4219
1000510511,1.0005,-0.1009,-0.8410,-0.1026,-0.5090
1004504505,1.0045,-0.1082,-0.8817,-0.1239,-0.6059
1008498498,1.0085,-0.1159,-0.9237,-0.1480,-0.7130
1012492492,1.0125,-0.1238,-0.9668,-0.1749,-0.8303
1016486486,1.0165,-0.1322,-1.0112,-0.2049,-0.9579
1020480480,1.0205,-0.1408,-1.0569,-0.2380,-1.0959
